Camera,Image,Corner,xProjected,yProjected,xOriginal,yOriginal,deltaX,deltaY,RMS error
Camera L,4_L,3,1084.0028,660.41974,1084.084,660.4257,-0.08117676,-0.0059814453,0.08139682854371974
Camera L,4_L,4,1045.2859,702.87976,1045.3523,702.9138,-0.06640625,-0.034057617,0.07463049864199485
Camera L,4_L,5,1004.48676,747.73944,1004.53375,747.75244,-0.04699707,-0.013000488,0.04876204788059037
Camera L,4_L,6,961.3786,795.258,961.33887,795.3168,0.039733887,-0.058776855,0.07094716691012252
Camera L,4_L,7,915.70245,845.72266,915.6726,845.65924,0.029846191,0.06341553,0.0700879750723647
Camera L,4_L,8,867.1687,899.44214,867.1532,899.4229,0.01550293,0.019226074,0.02469782902929835
Camera L,4_L,9,1136.8411,517.2064,1136.8354,517.3075,0.0056152344,-0.10107422,0.10123007731405244
Camera L,4_L,10,1102.7803,552.3294,1102.7472,552.35815,0.033081055,-0.028747559,0.04382668484312332
Camera L,4_L,11,1067.1339,589.1426,1067.1343,589.158,-0.00036621094,-0.0154418945,0.015446236343038173
Camera L,4_L,12,1029.7584,627.8065,1029.7454,627.7425,0.013061523,0.06402588,0.06534459858493394
Camera L,4_L,13,990.48505,668.50665,990.45526,668.48016,0.029785156,0.026489258,0.03986020963685472
Camera L,4_L,14,949.118,711.45575,949.1342,711.4392,-0.016235352,0.016540527,0.02317705082980388
Camera L,4_L,15,905.43146,756.8944,905.4179,756.7968,0.013549805,0.097595215,0.09853133089260044
Camera L,4_L,16,859.17,805.0891,859.1461,805.09735,0.023864746,-0.008239746,0.025247168589935472
Camera L,4_L,17,810.0511,856.3269,810.0282,856.31464,0.022888184,0.012268066,0.025968719675204754
Camera L,4_L,18,1086.3174,490.2109,1086.3301,490.21777,-0.0126953125,-0.006866455,0.014433265909438683
Camera L,4_L,19,1051.7837,524.02594,1051.8403,523.9732,-0.056640625,0.052734375,0.0773891123287459
Camera L,4_L,20,1015.65704,559.43286,1015.6257,559.37994,0.03137207,0.05291748,0.06151801796915259
Camera L,4_L,21,977.7916,596.5811,977.83026,596.56415,-0.038635254,0.016967773,0.04219701624317455
Camera L,4_L,22,938.01794,635.6429,937.9751,635.57605,0.04284668,0.066833496,0.07938862739937327
Camera L,4_L,23,896.1402,676.81537,896.15955,676.7662,-0.019348145,0.049194336,0.05286240048591951
Camera L,4_L,24,851.9351,720.32117,851.8756,720.29205,0.059509277,0.02911377,0.06624926917554712
Camera L,4_L,25,805.1526,766.4065,805.1158,766.3835,0.0368042,0.023010254,0.043405309179448674
Camera L,4_L,26,755.5191,815.33636,755.48224,815.3029,0.036865234,0.033447266,0.049777154230761206
Camera L,4_L,27,1037.739,464.21674,1037.6777,464.28146,0.061279297,-0.06472778,0.08913382154875407
Camera L,4_L,28,1002.77783,496.80374,1002.85205,496.7507,-0.07421875,0.05303955,0.09122289624123593
Camera L,4_L,29,966.2156,530.8931,966.2641,530.78735,-0.04852295,0.105773926,0.11637267710275799
Camera L,4_L,30,927.9051,566.62396,927.9906,566.5941,-0.085510254,0.029846191,0.09056930310303737
Camera L,4_L,31,887.6767,604.1562,887.68274,604.1544,-0.0060424805,0.0017700195,0.006296390978666405
Camera L,4_L,32,845.3362,643.67224,845.33655,643.6517,-0.00036621094,0.020568848,0.020572107435962068
Camera L,4_L,33,800.6641,685.3776,800.65704,685.4038,0.007080078,-0.026184082,0.027124410741531928
Camera L,4_L,34,753.4176,729.4991,753.4423,729.5021,-0.024719238,-0.0029907227,0.02489950126431898
